Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 11.46      0.44     0.44  5533442     0.00     0.00  Forallslotsaux_5658
 10.16      0.83     0.39  9535538     0.00     0.00  dlmalloc
  9.11      1.18     0.35 30400311     0.00     0.00  Forallchildrenaux_5222
  8.07      1.49     0.31  7817153     0.00     0.00  dlfree
  7.29      1.77     0.28    13443     0.00     0.00  Collectzct_9001
  4.43      1.94     0.17  7719603     0.00     0.00  newObj
  4.17      2.10     0.16 17785516     0.00     0.00  Dooperation_5218
  2.86      2.21     0.11  6202867     0.00     0.00  Incl_4810
  2.86      2.32     0.11  4334492     0.00     0.00  Sametype_58051
  2.86      2.43     0.11       60     0.00     0.00  Newcrcfromropeaux_30717
  2.34      2.52     0.09       60     0.00     0.00  Newwriteroperec_30512
  2.08      2.60     0.08    13438     0.00     0.00  Markstackandregisters_8419
  1.30      2.65     0.05  9535536     0.00     0.00  Gcalloc_4561
  1.30      2.70     0.05  8584963     0.00     0.00  dlmalloc_footprint
  1.30      2.75     0.05  8584954     0.00     0.00  Collectct_5206
  1.30      2.80     0.05  5372235     0.00     0.00  unsureAsgnRef
  1.30      2.85     0.05   149614     0.00     0.00  Nextidentiter_36105
  1.04      2.89     0.04  5412687     0.00     0.00  setLengthSeq
  1.04      2.93     0.04  1470749     0.00     0.00  Sonslen_33321
  1.04      2.97     0.04   434229     0.00     0.00  Getuniquetype_103017
  1.04      3.01     0.04   261094     0.00     0.00  Strtablerawinsert_37756
  1.04      3.05     0.04   182611     0.00     0.00  Ropef_30071
  1.04      3.09     0.04   148595     0.00     0.00  Matches_83394
  0.78      3.12     0.03  1034906     0.00     0.00  objectInit
  0.78      3.15     0.03   865351     0.00     0.00  Growobj_6406
  0.52      3.17     0.02  5372235     0.00     0.00  Isonstack_5211
  0.52      3.19     0.02  4304165     0.00     0.00  Updatecrc32_28018
  0.52      3.21     0.02  4088565     0.00     0.00  Addzct_4640
  0.52      3.23     0.02  1939913     0.00     0.00  genericAssign
  0.52      3.25     0.02   602953     0.00     0.00  Intsetcontainsorincl_33434
  0.52      3.27     0.02   356276     0.00     0.00  Copytree_33376
  0.52      3.29     0.02   197098     0.00     0.00  Transform_126081
  0.52      3.31     0.02    39781     0.00     0.00  Objectinitaux_10994
  0.52      3.33     0.02    20229     0.00     0.00  Exprlistaux_47311
  0.52      3.35     0.02     6346     0.00     0.00  Iterovernode_58505
  0.26      3.36     0.01  2731339     0.00     0.00  Sonslen_33324
  0.26      3.37     0.01  1377940     0.00     0.00  newSeq
  0.26      3.38     0.01  1219024     0.00     0.00  Write_2653
  0.26      3.39     0.01  1192015     0.00     0.00  copyString
  0.26      3.40     0.01   763144     0.00     0.00  incrSeq
  0.26      3.41     0.01   382014     0.00     0.00  asgnRef
  0.26      3.42     0.01   331225     0.00     0.00  Typerel_82868
  0.26      3.43     0.01   295964     0.00     0.00  Rawgettok_45285
  0.26      3.44     0.01   292282     0.00     0.00  Skip_45758
  0.26      3.45     0.01   276846     0.00     0.00  Getconstexpr_72010
  0.26      3.46     0.01   220295     0.00     0.00  Newlineinfo_25609
  0.26      3.47     0.01   213953     0.00     0.00  Intsetincl_33425
  0.26      3.48     0.01   202404     0.00     0.00  Initidentiter_36099
  0.26      3.49     0.01   195483     0.00     0.00  Base_58024
  0.26      3.50     0.01   189821     0.00     0.00  Getident_31025
  0.26      3.51     0.01   150452     0.00     0.00  Transformsym_126091
  0.26      3.52     0.01   146392     0.00     0.00  Semexpr_81073
  0.26      3.53     0.01   132776     0.00     0.00  Expr_106838
  0.26      3.54     0.01   125266     0.00     0.00  Symtabget_36126
  0.26      3.55     0.01   119483     0.00     0.00  Getsymbol_45679
  0.26      3.56     0.01   105952     0.00     0.00  Userconvmatch_83262
  0.26      3.57     0.01    99236     0.00     0.00  Useheader_104226
  0.26      3.58     0.01    88416     0.00     0.00  Identorliteral_47394
  0.26      3.59     0.01    87533     0.00     0.00  Samevalue_33384
  0.26      3.60     0.01    75735     0.00     0.00  Skipvargenericrange_58092
  0.26      3.61     0.01    71240     0.00     0.00  App_30038
  0.26      3.62     0.01    70355     0.00     0.00  Torope_30048
  0.26      3.63     0.01    66013     0.00     0.00  Idnodetableget_36191
  0.26      3.64     0.01    39592     0.00     0.00  Unknownlineinfo_25571
  0.26      3.65     0.01    37575     0.00     0.00  Getnormalizedhash_22037
  0.26      3.66     0.01    37311     0.00     0.00  Handlelf_44047
  0.26      3.67     0.01    30471     0.00     0.00  Semdirectcall_83799
  0.26      3.68     0.01    29686     0.00     0.00  Semtypenode_81091
  0.26      3.69     0.01    21841     0.00     0.00  Computesizeaux_59971
  0.26      3.70     0.01    18917     0.00     0.00  Closescope_68019
  0.26      3.71     0.01    13582     0.00     0.00  Genderef_107317
  0.26      3.72     0.01    10016     0.00     0.00  Treesequivalent_66159
  0.26      3.73     0.01     8159     0.00     0.00  Semproctypenode_85917
  0.26      3.74     0.01     4518     0.00     0.00  Genprocparams_104492
  0.26      3.75     0.01     3088     0.00     0.00  Parseroutine_47672
  0.26      3.76     0.01     2933     0.00     0.00  Searchforproc_78004
  0.26      3.77     0.01     2933     0.00     0.00  Semprocaux_95271
  0.26      3.78     0.01     1986     0.00     0.00  Transformcontinueaux_126172
  0.26      3.79     0.01     1826     0.00     0.00  Idnodetableput_36195
  0.26      3.80     0.01     1357     0.00     0.00  Parsesection_47693
  0.26      3.81     0.01     1033     0.00     0.00  Evalop_72014
  0.26      3.82     0.01      591     0.00     0.00  Importallsymbols_69009
  0.26      3.83     0.01      554     0.00     0.00  Findfile_24112
  0.26      3.84     0.01       60     0.00     0.00  Crcfromfile_28029
  0.00      3.84     0.00   799769     0.00     0.00  asgnRefNoCycle
  0.00      3.84     0.00   722502     0.00     0.00  Addson_33341
  0.00      3.84     0.00   448707     0.00     0.00  Newnodei_33255
  0.00      3.84     0.00   406918     0.00     0.00  Genericassignaux_10898
  0.00      3.84     0.00   404023     0.00     0.00  copyStrLast
  0.00      3.84     0.00   389338     0.00     0.00  genericSeqAssign
  0.00      3.84     0.00   344037     0.00     0.00  Copynode_33373
  0.00      3.84     0.00   335570     0.00     0.00  addChar
  0.00      3.84     0.00   261310     0.00     0.00  Intsetinit_33430
  0.00      3.84     0.00   259957     0.00     0.00  Getcolnumber_44038
  0.00      3.84     0.00   254319     0.00     0.00  Initidtable_33272
